"ID","klimatischer Stressor","Impact","Branche(n)","Unternehmensbereich","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte1","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Sturm","Gefahr für Personal durch umherfliegende oder umstürzende Gegenstände","Logistik","Personal","Contargo","Deutschland","Tieflagen",,"Kolhof et al. 2018",,,,,,,,,,
,"Sturm","erhöhter Arbeitsaufwand wg. Sicherung gefährdeter Waren und Betriebsmittel","Logistik","Personal; Management",,"Deutschland","Tieflagen",,"Kolhof et al. 2018",,,,,,,,,,
,"Sturm","bei Sturm Unterbrechung des Betriebs in Seehäfen --> Verzögerungen in der Lieferkette","Logistik","Produktion / Betrieb; Lieferkette","Contargo","Deutschland","Tieflagen",,"Kolhof et al. 2018: Laut Contargo ist bei Starkwind zudem die Einstellung des Betriebes vor allem in den Seehäfen    möglich,    was    wiederum    Verzögerungen    im    Arbeitsablauf    und    somit Lieferverzögerungen  zur  Folge  hat.",,,,,,,,,,
,"Sturm; Starkregen; Gewitter & Hagel","Verhinderung von Freizeitaktivitäten im Außenbereich bei Schlechtwetter, auch wg. Sicherheitsvorkehrungen","Tourismus","Absatz; Betriebsmittel",,,,"z. B. Ausbleiben von Skifahrern, Schließung von Liften bei Sturm und Unwetter","Daus 2017",,,,,,,,,,
,"Gewitter & Hagel; Sturm","Unterbrechung von Arbeiten im Freien, auf Baustellen, etc --> Zeitverlust, geringere Arbeitsproduktivität, Umplanungen erforderlich","Bausektor; Verarbeitendes Gewerbe; Logistik","Produktion / Betrieb; Management","B1; Hévron; Contargo","Deutschland; Schweiz","Tieflagen; mittlere Lagen; Hochlagen","Kräne können nicht arbeiten; ggfs mehrere Tage am Stück","Hars et al. S. 48","[...] quand il y a du vent fort, on ne peut pas utiliser la grue, on a pas le droit de l'utiliser. Je peux vous montrer un truc sur l'ordinateur [GC montre des images à l'écran]. Voilà nos plus grands chantiers, c'est ça que je voulais vous montrer : C'est là qu'on a été impacté par un grand vent. C'est à côté de Bâle, voyez, on monte des éléments comme ça. Quand les employés ne peuvent pas utiliser la grue, ils doivent faire autre chose s'ils peuvent, quand il y a d'autres travaux à faire. Mais s'il y a du vent pendant trois jours, c'est une catastrophe pour nous car le planning est au jour près, ce n'est pas en semaine. On sait que le mardi on doit monter... Le voilà ce fameux bâtiment [GC montre la construction en question à l'écran]. Chaque pièce a été construite ici, il y en a des milliers, et ces éléments, il faut en poser un certain nombre par jour. On s'engage en semaine à en avoir posé 12. Une fois on n’a pas pu les poser, voilà. On a renvoyé les employés à la maison. Quand c'est les notre, ça va, mais quand on a des employés sous-traitants qui travaillent au forfait, ils râlent un peu. Cela leur rallonge leur travail, il faut s'arranger.","Kolhof et al. 2018",,,,,,,,
,"Gewitter & Hagel; Sturm","Unterbrechungen der Stromversorgung durch Blitzeinschläge oder Schäden an Stromleitungen --> Ausfall von IT und elektronischen Geräten, Unterbrechungen im Betrieb","Energiewirtschaft; Logistik; Forst- und Holzwirtschaft; Getränkeindustrie","Betriebsmittel; Kritische Infrastrukur; Produktion / Betrieb","IWB; Contargo; Schreinerei Burkard; Lieler","Schweiz; Deutschland","Tieflagen","Schäden v.a. an älteren Stromtrassen","IWB: Gewitter & Hagel hat einen gewissen Einfluss auf die Stromversorgung, genauso wie Stürme. Wenn Stürme und starke Gewitter zunehmend, dann kann es zu mehr Stromunterbrüchen    führen.    Das    ist    abzuwarten;    bisher    sind    wir    mit    der    Basler Stromversorgung gut aufgestellt, aber bei Stromtrassen, die älter sind oder in Gebieten sind, wo   das   extrem   zunimmt,   kann   es   unter   Umständen   zu   mehr   Unterbrüchen   in   der Stromversorgung führen","Kolhof et al. 2018","Ansonsten, was mir noch einfallen würde wäre, dass wenn öfter starke Gewitter wären und ein Blitz einschlägt, dass dann die elektronischen Geräte gefährdet sind. Aber das ist eine Prognose. Das ist nichts, was jetzt schon stattgefunden hat.","Lieler: Wie gesagt, wirklich aufgetreten davon, dass man jetzt sagen kann das war jetzt mal so anders, dass man gar nicht produzieren konnte oder so, das war eigentlich auch nicht so. Wenn dann mal einen Stromausfall gewitterbedingt.",,,,,,,
,"Sturm; Dürre; Hitze; allg. Temperaturanstieg","Unzugänglichkeit von Waldwegen und Mountainbiketrails auf Grund umgestürzter Bäume --> Attraktivitätsverlust, Unfallgefahr","Tourismus","Absatz",,,,,"Kolb & Konrad 2021",,,,,,,,,,
,"Kälte & Frost","Erhöhung des Heizenergiebedarfs","Logistik; Verarbeitendes Gewerbe","Kritische Infrastruktur; Finanzen","Dischinger; Hévron; Gaggenau; Contargo","Deutschland; Schweiz","Tieflagen; mittlere Lagen","Aufstellen von Heizpilzen in Montagehalle; Enteisung von Containern","Und wir stellen auch fest, unsere Heizphase ist auch länger. Spannenderweise. Ich kann’s nur nicht so ganz greifen, warum, aber es ist auch länger.[…] Wir haben einen höheren Gasverbrauch. [d.h. steigende Ausgaben für Gas, Anm. NS]","Les froids intenses impactent aussi notre consommation en gaz, on consomme plus.[…] Les kilowatts/heures, on est quand même un gros consommateur parce que nous transformons l'acier, on soude et cela pompe beaucoup d'énergie, il y a là beaucoup de machines. Mais tout est relativement stable, sauf ici, le gaz qui bouge un peu en fonction de la météo. Là on peut observer des variations d'année en année, de l'ordre de 5 à 10%, pas plus. ","Gag: zone magasin[…] les gens qui travaillent dans ces zones là sont équipés de parasols chauffants. Parce que les pièces en métal, c'est froid, c'est vraiment comme si vous travailliez dans une chambre froide","Kolhof et al. 2018",,,,,,,
,"Kälte & Frost; Schnee","Eis und Schnee auf Oberflächen: Gefahr von Arbeitsunfällen","Verarbeitendes Gewerbe; Logistik","Personal; Betriebsmittel","Gaggenau; Contargo","Frankreich; Deutschland","Tieflagen ",,"Gag: il y a pu y avoir des plaques de gel sur lesquelles les gens ont glissé","Kolhof et al. 2018",,,,,,,,,
,"Kälte & Frost","Unterbrechung von Arbeiten im Freien und in kalten Innenräumen","Verarbeitendes Gewerbe; Logistik","Produktion / Betrieb","Hévron; Contargo","Schweiz; Deutschland","Tieflagen; mittlere Lagen; Hochlagen","z. B. Vereisung von Rheinhäfen","On est très dépendant de la météo, en hiver on est ralenti. Quand on va se battre pour une affaire, on ne peut pas prétendre dès le départ qu'il y aura du retard parce que c'est l’hiver et qu'il y a de la neige. C'est la date qui figure sur le contrat signé qui fait fois, le reste c'est notre problème. Cela signifie que quand on est sur nos chantiers dans la Vallée de Joux et qu'il y a un mètre de neige, ben on ne peut pas bosser. Et puis on fait aussi de l'étanchéité de toiture, pour laquelle il faut des températures acceptables pour pouvoir travailler. [...] Quand il fait trop froid, avec la glace ou quand il y a trop de neige, on ne peut rien faire non plus. ","Kolhof et al. 2018",,,,,,,,,
,"Kälte & Frost","Einschränkungen und Unterbrechungen im Betrieb wegen kältesensibler Maschinen, Geräte und Materialien ","Verarbeitendes Gewerbe; Forst- und Holzwirtschaft; Logistik; Landwirtschaft","Produktion / Betrieb; Betriebsmittel","Hévron; Gaggenau; Holzbearbeitung Heinzelmann; Doll; Contargo; Ringlihof","Schweiz; Frankreich; Deutschland","Tieflagen; mittlere Lagen","z. B. Metallteile oder Industriekleber können nicht verarbeitet werden, wenn sie zu kalt sind; Wasserleitungen in Ställen frieren ein","Aussi, on a des normes avec le verre : au chantier, ce sont des ventouses (Sauger) qui prennent le verre et qui les posent lors du montage. Ces ventouses, on n’a pas le droit de les utiliser dès que la température est en dessous de 3°C. Parfois, nous sommes bloqués à cause de la ventouse. ","Gag: Problèmes avec les matériaux surtout en hiver. On fait de l’emboutissage de tôle, les tôles doivent être au minimum entre 12 et 15°C avant de pouvoir les travailler. Il faut les mettre au chaud en hiver car les halls de stockage ne sont pas chauffés […] La tôle stockée en extérieur, on est forcé de la rentrer 3-4 jours avant de la travailler [...] vous avez certaines colles, des silicones et certains produits sensibles qu'il faut maintenir à une température minimum de 7-8°C","HH: Extreme Kälte ist immer ein Problem auf Sägewerken, weil die Hallen in vielen Fällen nicht geheizt sind undwenn man mit Druckluftarbeitete,hat man einen gewissen Wassergehalt (...) der gefriert dann über  Nacht,  aber  ist  jetzt  auch  nichts  Neues. ","Doll: Kälte. Da hat man ja natürlich bei extremer Kälte […] natürlich auch negative Effekte auf Fahrzeuge, auf LKW zum Beispiel. Merkt man dann schon, ja.",,,,,,,
,"Kälte & Frost","Umplanung wegen kurzfristigen kältebedingten Verzögerungen und Unterbrechungen","Verarbeitendes Gewerbe","Management","Hévron","Schweiz","mittlere Lagen; Hochlagen",,"On est très dépendant de la météo, en hiver on est ralenti. Quand on va se battre pour une affaire, on ne peut pas prétendre dès le départ qu'il y aura du retard parce que c'est l’hiver et qu'il y a de la neige. C'est la date qui figure sur le contrat signé qui fait fois, le reste c'est notre problème. Cela signifie que quand on est sur nos chantiers dans la Vallée de Joux et qu'il y a un mètre de neige, ben on ne peut pas bosser. Et puis on fait aussi de l'étanchéité de toiture, pour laquelle il faut des températures acceptables pour pouvoir travailler. [...] Quand il fait trop froid, avec la glace ou quand il y a trop de neige, on ne peut rien faire non plus. ",,,,,,,,,,
,"Kälte & Frost","Beeinträchtigung von Gesundheit und Komfort der Angestellten bei Arbeiten im Freien","Verarbeitendes Gewerbe","Personal","Hévron","Schweiz","mittlere Lagen; Hochlagen",,"10% de nos employés travaillent en extérieur. Il n'y a pas de moyen pour les rendre insensible au changement climatique. En hiver, je leur donne des habits très chauds",,,,,,,,,,
,"Kälte & Frost","Beeinträchtigung von Gesundheit und Komfort der Angestellten bei Arbeiten in nicht (ausreichend) beheizten Innenräumen","Verarbeitendes Gewerbe; Forst- und Holzwirtschaft","Personal","Hévron; Holzbearbeitung Heinzelmann","Schweiz; Deutschland","mittlere Lagen",,"SB : Et des froids intenses, ou des gelées ? GC : Oui. Cela n'a pas de conséquences sur les bâtiments, toutefois nous chauffons au gaz d'énormes surfaces où les portes s'ouvrent tout le temps, il faut aérer à cause des fumées... donc oui, cela a un petit impact : nos employés avaient froid, ce n'était pas idéal. Quand il fait -20°C, dans les ateliers il doit faire 5°C ! C'est leur confort qui est impacté. Mais le travail n'est pas interrompu. Cela engendre quand même une baisse de productivité, mais on bossera quand même au chantier par -20°C. ","HH: Extreme Kälte ist immer ein Problem auf Sägewerken, weil die Hallen in vielen Fällen nicht geheizt sind undwenn man mit Druckluftarbeitete,hat man einen gewissen Wassergehalt (...) der gefriert dann über  Nacht,  aber  ist  jetzt  auch  nichts  Neues. ",,,,,,,,,
,"Kälte & Frost","sinkende Arbeitsproduktivität wg. geringerem Komfort der Angestellten","Verarbeitendes Gewerbe; Forst- und Holzwirtschaft","Personal","Hévron; Gaggenau; Sägewerk 3","Schweiz; Frankreich; Deutschland","Tieflagen; mittlere Lagen; Hochlagen","z. B. mehr Pausen zum Aufwärmen, mehr Fehlzeiten wegen Erkältungen","donc oui, cela a un petit impact : nos employés avaient froid, ce n'était pas idéal. Quand il fait -20°C, dans les ateliers il doit faire 5°C ! C'est leur confort qui est impacté. Mais le travail n'est pas interrompu. Cela engendre quand même une baisse de productivité, mais on bossera quand même au chantier par -20°C. ","Gag: On a une zone magasin où on peut mettre un peu de chauffage, et les gens qui travaillent dans ces zones là sont équipés de parasols chauffants pour pouvoir se réchauffer. Parce que les pièces en métal,c’est froid, c’est vraiment comme si vous travailliez dans une chambre froide","Säge 3: Extreme  Kälte: Das  würde  uns  schon  extrem  erschweren.  Also Kälteund  viel  Schnee  das behindert uns schon",,,,,,,,
,"Kälte & Frost","Frostschäden an asphaltierten Flächen --> erhöhte Instandhaltungskosten","Logistik ","Betriebsmittel","Contargo","Deutschland ","Tieflagen",,"Kolhof et al. 2018",,,,,,,,,,
,"Kälte & Frost; Schnee","zusätzliche Ausgaben in strengen Wintern für Streusalz, Schneeketten, etc.","Logistik","Betriebsmittel; Finanzen","Contargo","Deutschland ","Tieflagen",,"Kolhof et al. 2018",,,,,,,,,,
,"Kälte & Frost; allg. Temperaturanstieg","zunehmendes Risiko von Spätfrostschäden","Landwirtschaft","Rohstoffe; Absatz",,,,"durch Kombination aus früherem Austrieb der Pflanzen in milden Wintern und Spätfrost besonders schädlich; v.a. bei Obst- und Sonderkulturen","Nagy 2021",,,,,,,,,,
,"Schnee","Verkehrsbehinderungen durch Schnee --> Verspätungen in der Lieferkette","Logistik; Forst- und Holzwirtschaft","Produktion / Betrieb; Lieferkette","Dischinger; Holzbearbeitung Heinzelmann; Borho; Evola; Hafen Karlsruhe","Deutschland","Tieflagen, mittlere Lagen, Hochlagen","wird als nicht gravierend eingeschätzt","Dass da mal der Lastwagen nicht pünktlich kommt, im Schnee stecken bleibt, das ist höhere Gewalt, da kannst du nix dafür","HH: Schnee beziehungsweise Schneemangel ist immer in Problem, wars aber auch schon immer im Schwarzwald, wenns zu viel schneit, dann können die Rundholztransporter nicht in den Wald fahren und das Holz zu uns runterfahren, also dafür braucht man auch gewisse  Lagermöglichkeiten,  Zwischenlager,  das  man  auch  über  die  Wintermonate produzieren kann, weil die Kunden es da auch nicht stehen lassen.","Borho: wenn es den einmal klimatechnische Probleme gibt, dann ist das der Schneefall, in die Richtung. Aber ansonsten mit Starkregen oder auch Hitze da hatten wir noch nie Probleme gehabt. Wenn es bei uns heiß wird dann ist das der Schnee, wenn es über Nacht geschneit hat und die Straßen zu sind.
","Evola: dann müsste ich im Winter vielleicht auch drei- viermal im Jahr damit rechnen, dass ich zum Beispiel auf der Straße nicht mehr über den Gotthard fahren kann oder zum Gotthardtunnel hinfahren kann, weil da so viel Schnee liegt. Das wird auf gut Deutsch unter demselben Konto abgebucht. ","HKA:  Das sind einzelne Ereignisse, jetzt zum Beispiel in den Alpen diese Schneemassen die runtergekommen sind, dass da die Logistik eingeschränkt ist, ist klar. Der Brenner ist zu im Moment, ich weiß nicht, ob er schon wieder offen ist. Das ist das Phänomen, es kommt viel auf einmal, und das ist später Nassschnee, den hatten wir ja auch letzte Woche. Das ist dann aber mal ein halber Tag und dann spielt sich das ganze System auch wieder ein. Und das betrifft, klar dann die Schienen- und vor allem die Straßenlogistik,",,,,,,
,"Schnee","Unterbrechung / Behinderung von Arbeiten im Freien","Verarbeitendes Gewerbe; Forst- und Holzwirtschaft; Logistik","Produktion / Betrieb","Hévron; Sägewerk 3","Schweiz; Deutschland","mittlere Lagen; Hochlagen","Schnee und Eis müssen von Baustellen oder Containern / Waren entfernt werden; Firma wird dafür bezahlt","Cela signifie que quand on est sur nos chantiers dans la Vallée de Joux et qu'il y a un mètre de neige, ben on ne peut pas bosser.","SB : Comment vous impacte la neige ? GC : Alors les sites et bâtiments ne sont pas touchés, par contre le montage oui. Cela nous arrive de devoir quitter le chantier parce que l'on peut plus bosser. C'est directement lié à l'organisation du travail : c'est déjà arrivé que l'on doive arrêter l'activité pendant un à trois jours. Parce qu'il faut déneiger, cela prend du temps, on est payé pour ça. Des fois on envoie des gens pour le faire, des fois on nous demande de le faire en régie, donc on comte nos heures, on prend nos pelles (Schaufel), et hop ! Aussi, on a nos gens de l'étanchéité qui ont des brûleurs : quand il y a de la glace, ils dégivrent.","Säge 3: Also Kälte und  viel  Schnee  das behindert uns schon.","Kolhof et al. 2018",,,,,,,
,"Schnee","erhöhtes Unfallrisiko auf der Straße","Logistik ","Produktion / Betrieb; Personal; Betriebsmittel",,,,,"Kolhof et al. 2018, S. 22",,,,,,,,,,
,"Schnee; Sturm; Kälte & Frost","Blockierung von Zufahrtswegen durch Schneemassen, vereiste Straßen und umgestürzte Bäume","Tourismus","Kritische Infrastrukturen",,,,,"Daus 2017",,,,,,,,,,
,"Schnee; Sturm","erhöhter Personalbedarf zum Schneeräumen, Pistensicherung, etc.","Wintertourismus","Personal",,,,,"Daus 2017",,,,,,,,,,
,"Schneemangel","Verschärfung des Wassermangels im Wald in Trockenjahren","Forst- und Holzwirtschaft","Rohstoffe","Sägewerk 1","Deutschland",,,"Säge 1: Wir sind froh,wenn mal wieder Schnee liegt, dass der Wald besser Wasser kriegt.",,,,,,,,,,
,"Schneemangel; Sturm","Wintersportbetrieb nicht möglich, v.a. Ski; weniger Betriebstage und Verkürzung der lukrativen Wintersaison","Wintertourismus","Absatz; Betriebsmittel; Produktion / Betrieb","alle interviewten  Skiliftbetreiber","Deutschland, Frankreich","Höhenlagen","v.a. unter 1.000m virulent; hohe Betriebskosten bleiben, Liftbetrieb wird unrentabel","Kolb & Konrad 2021",,,,,,,,,,
,"Schneemangel","Imageschaden wg. Häufung von Schneemangel --> langfristiger Kundenverlust","Wintertourismus","Absatz ",,,,,"Kolb & Konrad 2021",,,,,,,,,,
,"Schneemangel; allg. Temperaturanstieg","künstl. Beschneiung und Schneelagerung temperaturbedingt nicht möglich","Wintertourismus","Betriebsmittel",,,,"> 2° C können Schneekanonen nicht produzieren","Kolb & Konrad 2021",,,,,,,,,,
,"Schneemangel; allg. Temperaturanstieg","steigender Kunstschneebedarf --> höhere Investitionen und höhere Wasser- und Energiekosten","Wintertourismus","Finanzen; Kritische Infrastrukturen",,,,,"Daus 2017",,,,,,,,,,
,"Schneemangel; allg. Temperaturanstieg; Kälte & Frost","reduzierte Nachfrage nach Wintersport in milden Wintern oder bei extremer Kälte, Ausbleiben von Tagestouristen bei Schneemangel in Tieflagen","Wintertourismus","Absatz",,,,"psychologischer Faktor, auch Wettervorhersage wichtig; auch bei extremer Kälte reduzierte Nachfrage","Daus 2017",,,,,,,,,,
,"Schneemangel; allg. Temperaturanstieg","negative Folgen für Berg-Ökosysteme durch Schneekanonen und Pistenpräparierung","Wintertourismus","Betriebsmittel",,,,"z. B. Potentieller Wassermangel für lokale Versorgung, Verlust von Feuchtgebieten, Eintrag von Mineralien und Keimen in beschneite Böden und Wasserkreislauf, zusätzliches Schmelzwasser, etc.","Daus 2017","Fachliteratur: Newesely 1999, de Jong 2013",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Halde:",,,,,,,,,,,,,,,,,,,
,"Starkregen","Verspätungen führen zu finanziellen Verlusten aufgrund engmaschig getakteter Lieferketten","Automotive Industrie","Produktion / Betrieb","Spedition Kleyling","Deutschland","Tieflagen, mittlere Lagen, Hochlagen",,"Es ist so, dass wir nicht in diese Automotive-Lieferketten eingebunden sind. Insofern sind wir etwas freier mit der Lieferung. Wir haben die zwar hin und wieder, aber wir sind mehr in den Papiermaschinenbau, Lebensmittel so Trockenprodukte wie Müsli, Chips, alles was nicht gekühlt geliefert werden muss. Aber so engmaschig getaktete Lieferketten, die gibt es im Südbadischen Raum gar nicht. Weil dafür schlicht weg keine Unternehmen da sind, die so etwas verlangen wie Automobilfabriken, die wirklich eine engmaschig getaktete Lieferkette haben, so dass sie wirklich darunter leiden würden, wenn die Lieferung eine halbe Stunde zu spät kommt. Das gibt es nicht bei uns.",,,,,,,,,,
,"Sturm","Waldschäden, Windwurf --> reduzierte Beschattung von Versickerungsstellen (--> höhere Verdunstung, ökon. Verluste?)","Energiewirtschaft","Rohstoffe","IWB","Schweiz","Tieflagen",,"IWB: Da spielen eher Stürme eine Rolle, die den Wald beschädigen, der die Gebiete beschattet, in denen wir Trinkwasser einleiten. Das heißt  Gebiete,  wo  wir  sogenannte  ‚Wasserstellen‘  bewirtschaften,  kleine  Tümpel  wo  dasWasser versickert, eingeleitet durch Kanalsysteme",,,,,,,,,,
,"allgemeiner Temperaturanstieg","geringeres Holzwachstum --> reduzierte Energieproduktion in Holzkraftwerken","Energieversorgung","Rohstoffe; Produktion / Betrieb","IWB","Schweiz","Tieflagen",,"IWB: Auf  der  anderen  Seite  haben wir mehrere Holzkraftwerke, um Strom und Wärme zu erzeugen, d.h. die Veränderung in den Wäldern hat schon Einfluss auf die Energieproduktion langfristig gesehen. Da ist es wichtig, die  Wälder  und  das  Forstmanagement  umzubauen.  Wir  haben  darauf  nur  einen  indirekten Einfluss,",,,,,,,,,,
,"Hitze / allg. Temperaturanstieg","Heizenergiebedarf sinkt - Wärmeabsatz sinkt","Energieversorgung","Absatz","IWB","Schweiz","Tieflagen",,"IWB: Sicherlich die Temperaturerhöhung, die jetzt jedes Jahr, vor allem im Sommer, aber auch im Winter spürbar wird. Das heißt wir spüren das auch deutlich an dem Rückgang des Wärmeabsatzes,d.h.  wir  verkaufen  weniger  Wärmeenergie,  da  die  Winter  tatsächlich  auch wärmer  sind.",,,,,,,,,,
,"Hitze / allg. Temperaturanstieg","langfristig: nach Abschmelzen der Gletscher reduziertes Wasserangebot für Energieproduktion","Energieversorgung","Produktion / Betrieb","IWB","Schweiz","Hochlagen","in Großwasserwerken an Stauseen in den Alpen","IWB: Einerseits hat es positive Effekte, wenn Gletscher  abschmelzen,  d.h.  wir  haben  mehr Wasser  in  den  Stauseen.  Aber  langfristig verändert  das  unser  Produktionsportfolio  erheblich –langfristig  heißt,  wir  reden  hier  von Jahrzehnten. Von daher sind das Szenarien, die wir langfristig anschauen und ich jetzt noch nicht  darlegen  kann,  was  das  genau  bedeutet.  Aber  das  verändert  auf  jeden  Fall  unseren Produktionstag bei den Großwasserwerken –dass irgendwann die Gletscher abgeschmolzen sind und dort deutlich weniger Wasser im Sommer als Tauwasser in die Stauseen fließt sowie in den Flüssen führen wird.",,,,,,,,,,
